prompt,name,problem_type,language,parallelism_model,temperature,top_p,do_sample,max_new_tokens,prompted,generated_output,did_build,is_source_valid,best_sequential_runtime,output_idx,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times,run_idx,did_run,is_valid,runtime,num_threads
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,0,N/A,,,,,19.626558303833008,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,1,N/A,,,,,15.775024652481079,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,2,N/A,,,,,19.71204948425293,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,3,N/A,,,,,15.593746900558472,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,4,N/A,,,,,15.08999252319336,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    if (A.size() != N * N) {\n        throw std::invalid_argument(""A must be an N x N matrix stored in row-major order"");\n    }\n    if (N == 0 || N == 1) return;\n\n    auto idx = [N](size_t i, size_t j) noexcept { return i * N + j; };\n\n    for (size_t k = 0; k < N; ++k) {\n        double pivot = A[idx(k, k)];\n        if (pivot == 0.0) {\n            throw std::runtime_error(""Zero pivot encountered (no pivoting implemented)"");\n        }\n\n        // Compute multipliers L(i,k) in parallel: A[i,k] /= A[k,k]\n        if (k",False,False,,5,N/A,,,,,14.58605432510376,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,6,N/A,,,,,16.817745447158813,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,7,N/A,,,,,16.615649938583374,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,,False,False,,8,N/A,,,,,15.282848119735718,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    if (A.size() != N * N) {\n        throw std::invalid_argument(""A size does not match N*N"");\n    }\n    if (N == 0) return;\n\n    for (std::size_t k = 0; k < N; ++k) {\n        double pivot = A[k * N + k];\n        if (std::abs(pivot) == 0.0) {\n            throw std::runtime_error",False,False,,9,N/A,,,,,26.912484645843506,,,,,
