prompt,name,problem_type,language,parallelism_model,temperature,top_p,do_sample,max_new_tokens,prompted,generated_output,did_build,is_source_valid,best_sequential_runtime,output_idx,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times,run_idx,did_run,is_valid,runtime,num_threads
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    auto idx = [N](size_t r, size_t c) { return r * N + c; };\n\n    for (size_t k = 0; k < N; ++k) {\n        // Compute U(k, j) for j = k..N-1 in parallel\n        hpx::for_loop(hpx::execution::par, k, N, [&](size_t j) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[idx(k, p)] * A[idx(p, j)];\n            A[idx(k, j)] -= sum;\n        });\n\n        double pivot = A[idx(k, k)];\n        if (pivot == 0.0)\n            throw std::runtime_error(""Zero pivot encountered; pivoting required."");\n\n        // Compute L(i, k) for i = k+1..N-1 in parallel\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[idx(i, p)] * A[idx(p, k)];\n            A[idx(i, k)] = (A[idx(i, k)] - sum) / pivot;\n        });\n    }\n}",False,True,,0,N/A,,,,,19.82905149459839,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    auto idx = [N](size_t i, size_t j) { return i * N + j; };\n\n    for (size_t k = 0; k < N; ++k) {\n        double pivot = A[idx(k, k)];\n\n        // Compute multipliers (L column k)\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            A[idx(i, k)] /= pivot;\n        });\n\n        // Update trailing submatrix\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double lik = A[idx(i, k)];\n            for (size_t j = k + 1; j < N; ++j) {\n                A[idx(i, j)] -= lik * A[idx(k, j)];\n            }\n        });\n    }\n}",False,True,,1,N/A,,,,,12.715606451034546,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double>& A, size_t N) {\n    auto idx = [N](size_t r, size_t c) { return r * N + c; };\n\n    for (size_t k = 0; k < N; ++k) {\n        // U row k\n        hpx::for_loop(hpx::execution::par, k, N, [&](size_t j) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[idx(k, p)] * A[idx(p, j)];\n            A[idx(k, j)] -= sum;\n        });\n\n        double pivot = A[idx(k, k)];\n        if (pivot == 0.0)\n            throw std::runtime_error(""Zero pivot encountered"");\n\n        // L column k (without diagonal, which is 1 implicitly)\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[idx(i, p)] * A[idx(p, k)];\n            A[idx(i, k)] = (A[idx(i, k)] - sum) / pivot;\n        });\n    }\n}",False,True,,2,N/A,,,,,8.85391879081726,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"{\n    for (size_t k = 0; k < N; ++k) {\n        // Compute U row k (columns j >= k)\n        hpx::for_loop(hpx::execution::par, k, N, [&](size_t j) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[k * N + p] * A[p * N + j];\n            A[k * N + j] -= sum;\n        });\n\n        double pivot = A[k * N + k]; // assume nonzero\n\n        // Compute L column k (rows i > k)\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[i * N + p] * A[p * N + k];\n            A[i * N + k] = (A[i * N + k] - sum) / pivot;\n        });\n    }\n}",False,True,,3,N/A,,,,,11.25872278213501,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    auto idx = [N](size_t i, size_t j) { return i * N + j; };\n\n    for (size_t k = 0; k < N; ++k) {\n        // Compute U row k: A[k, j] -= sum_{p=0..k-1} L[k, p] * U[p, j]\n        hpx::for_loop(hpx::execution::par, k, N, [&](size_t j) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[idx(k, p)] * A[idx(p, j)];\n            A[idx(k, j)] -= sum;\n        });\n\n        // Compute L column k: A[i, k] = (A[i, k] - sum_{p=0..k-1} L[i, p] * U[p, k]) / U[k, k]\n        double pivot = A[idx(k, k)];\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double sum = 0.0;\n            for (size_t p = 0; p < k; ++p)\n                sum += A[idx(i, p)] * A[idx(p, k)];\n            A[idx(i, k)] = (A[idx(i, k)] - sum) / pivot;\n        });\n    }\n}",False,True,,4,N/A,,,,,24.205811977386475,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"{\n    // Doolittle LU factorization without pivoting.\n    // Stores U on and above diagonal, and L (with implicit unit diagonal) below diagonal.\n    if (A.size() != N * N) return;\n\n    for (size_t k = 0; k < N; ++k) {\n        double pivot = A[k * N + k];\n        if (pivot == 0.0) throw std::runtime_error(""Zero pivot encountered (no pivoting implemented)."");\n\n        // Compute multipliers for column k (L entries below diagonal)\n        {\n            std::vector<hpx::future<void>> futs;\n            futs.reserve(N - k - 1);\n            for (size_t i = k + 1; i < N; ++i) {\n                futs.push_back(hpx::async([&, i, k, pivot] {\n                    A[i * N + k] /= pivot;\n                }));\n            }\n            hpx::when_all(futs).wait();\n        }\n\n        // Update trailing submatrix\n        {\n            std::vector<hpx::future<void>> futs;\n            futs.reserve(N - k - 1);\n            for (size_t i = k + 1; i < N; ++i) {\n                futs.push_back(hpx::async([&, i, k] {\n                    const double lik = A[i * N + k];\n                    const size_t row_i = i * N;\n                    const size_t row_k = k * N;\n                    for (size_t j = k + 1; j < N; ++j) {\n                        A[row_i + j] -= lik * A[row_k + j];\n                    }\n                }));\n            }\n            hpx::when_all(futs).wait();\n        }\n    }\n}",False,True,,5,N/A,,,,,15.820955276489258,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    const double eps = 1e-12;\n\n    for (size_t k = 0; k < N; ++k) {\n        // Compute U row k: A[k, j] for j >= k\n        auto uj_begin = hpx::counting_iterator<size_t>(k);\n        auto uj_end   = hpx::counting_iterator<size_t>(N);\n        hpx::for_each(hpx::execution::par, uj_begin, uj_end,\n                      [&](size_t j) {\n                          double s = 0.0;\n                          for (size_t p = 0; p < k; ++p) {\n                              s += A[k * N + p] * A[p * N + j];\n                          }\n                          A[k * N + j] -= s;\n                      });\n\n        double pivot = A[k * N + k];\n        if (std::abs(pivot) < eps) {\n            throw std::runtime_error(""Zero or near-zero pivot encountered (no pivoting implemented)."");\n        }\n\n        // Compute L column k: A[i, k] for i > k\n        auto li_begin = hpx::counting_iterator<size_t>(k + 1);\n        auto li_end   = hpx::counting_iterator<size_t>(N);\n        hpx::for_each(hpx::execution::par, li_begin, li_end,\n                      [&](size_t i) {\n                          double s = 0.0;\n                          for (size_t p = 0; p < k; ++p) {\n                              s += A[i * N + p] * A[p * N + k];\n                          }\n                          A[i * N + k] = (A[i * N + k] - s) / pivot;\n                      });\n    }\n    // Note: L has unit diagonal (not stored), U is on and above diagonal, L is strictly below.\n}",False,True,,6,N/A,,,,,11.218401432037354,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    auto idx = [&](size_t i, size_t j) { return i * N + j; };\n\n    for (size_t k = 0; k < N; ++k) {\n        double pivot = A[idx(k, k)];\n        // Optional: handle zero/near-zero pivot\n        // if (std::abs(pivot) < 1e-12) throw std::runtime_error(""Zero pivot"");\n\n        // Compute L column (below diagonal)\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            A[idx(i, k)] /= pivot;\n        });\n\n        // Update trailing submatrix\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double lik = A[idx(i, k)];\n            for (size_t j = k + 1; j < N; ++j) {\n                A[idx(i, j)] -= lik * A[idx(k, j)];\n            }\n        });\n    }\n}",False,True,,7,N/A,,,,,7.731880187988281,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"void luFactorize(std::vector<double> &A, size_t N) {\n    for (size_t k = 0; k < N; ++k) {\n        double pivot = A[k * N + k];\n\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            A[i * N + k] /= pivot;\n        });\n\n        hpx::for_loop(hpx::execution::par, k + 1, N, [&](size_t i) {\n            double lik = A[i * N + k];\n            double* Ai = &A[i * N];\n            const double* Ak = &A[k * N];\n            for (size_t j = k + 1; j < N; ++j) {\n                Ai[j] -= lik * Ak[j];\n            }\n        });\n    }\n}",False,True,,8,N/A,,,,,11.42090630531311,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Factorize the matrix A into A=LU where L is a lower triangular matrix and U is an upper triangular matrix.\n   Store the results for L and U into the original matrix A. \n   A is an NxN matrix stored in row-major.\n   Use HPX to compute in parallel. Assume HPX has already been initialized.\n   Example:\n\n   input: [[4, 3], [6, 3]]\n   output: [[4, 3], [1.5, -1.5]]\n*/\nvoid luFactorize(std::vector<double> &A, size_t N) {",00_dense_la_lu_decomp,dense_la,cpp,hpx,0.2,0.95,True,2048,False,"{\n    // Doolittle LU without pivoting: stores L (unit diagonal implied) and U in-place in A.\n    // A is row-major, size N*N.\n    // Requires nonzero pivots; no partial pivoting implemented.\n    #include <hpx/execution.hpp>\n    #include <hpx/algorithm.hpp>\n    #include <hpx/iterator_support/counting_iterator.hpp>\n\n    for (size_t k = 0; k < N; ++k) {\n        double pivot = A[k * N + k];\n        if (pivot == 0.0) throw std::runtime_error(""Zero pivot encountered; pivoting not implemented."");\n\n        // Compute multipliers for column k: L(i,k) = A(i,k) / U(k,k)\n        auto ibeg = hpx::util::counting_iterator<std::size_t>(k + 1);\n        auto iend = hpx::util::counting_iterator<std::size_t>(N);\n        hpx::for_each(hpx::execution::par, ibeg, iend,\n            [&](std::size_t i) {\n                A[i * N + k] /= pivot;\n            });\n\n        // Rank-1 update of the trailing submatrix: A(i,j) -= L(i,k) * U(k,j)\n        hpx::for_each(hpx::execution::par, ibeg, iend,\n            [&](std::size_t i) {\n                double lik = A[i * N + k];\n                double const* Uk = &A[k * N];      // row k\n                double* Ai = &A[i * N];            // row i\n                for (size_t j = k + 1; j < N; ++j) {\n                    Ai[j] -= lik * Uk[j];\n                }\n            });\n    }\n}",False,True,,9,N/A,,,,,13.00417685508728,,,,,
