prompt,name,problem_type,language,parallelism_model,temperature,top_p,do_sample,max_new_tokens,prompted,generated_output,did_build,is_source_valid,best_sequential_runtime,output_idx,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times,run_idx,did_run,is_valid,runtime,num_threads
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for (size_t i = 0; i < N; ++i) {\n            for (size_t j = 0; j < N; ++j) {\n                if (A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,0,266403840,13617.0,0.94,13485.0,0.7066666666666667,6.127065896987915,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for (size_t i = 0; i < N; ++i) {\n            for (size_t j = 0; j < N; ++j) {\n                if (A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,1,-1071497216,13677.0,0.94,13677.0,0.47,4.0874412059783936,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for(size_t i = 0; i < N; ++i) {\n            for(size_t j = 0; j < N; ++j) {\n                if(A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,2,-133754880,13677.0,0.94,13677.0,0.9333333333333332,6.159811735153198,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for(size_t i = 0; i < N; ++i) {\n            for(size_t j = 0; j < N; ++j) {\n                if(A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,3,-186290176,13677.0,0.94,13677.0,0.6266666666666666,6.125913858413696,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for (size_t i = 0; i < N; ++i) {\n            for (size_t j = 0; j < N; ++j) {\n                if (A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,4,-39555072,13737.0,0.94,13737.0,0.47,4.090984344482422,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for (size_t i = 0; i < N; ++i) {\n            for (size_t j = 0; j < N; ++j) {\n                if (A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,5,-94486528,13737.0,0.94,13737.0,0.8049999999999999,4.093855857849121,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int count = 0;\n        for(size_t i = 0; i < N; ++i) {\n            for(size_t j = 0; j < N; ++j) {\n                if(A[i*N + j] == 1) {\n                    count++;\n                }\n            }\n        }\n        return count;\n}",False,False,,6,-100311040,13737.0,0.94,13737.0,0.47,4.085873603820801,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int edgeCount = 0;\n        for (size_t i = 0; i < N; ++i) {\n            for (size_t j = 0; j < N; ++j) {\n                if (A[i*N + j] == 1) {\n                    edgeCount++;\n                }\n            }\n        }\n        return edgeCount;\n}",False,False,,7,-88518656,13737.0,0.94,13737.0,0.6699999999999999,4.10487699508667,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int edgeCount = 0;\n        for (size_t i = 0; i < N; ++i) {\n            for (size_t j = 0; j < N; ++j) {\n                if (A[i * N + j] == 1) {\n                    edgeCount++;\n                }\n            }\n        }\n        return edgeCount;\n}",False,False,,8,-30887936,13737.0,0.94,13737.0,0.47,4.08805775642395,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n        \n        int edgeCount = 0;\n        for(size_t i = 0; i < N; ++i) {\n            for(size_t j = 0; j < N; ++j) {\n                if(A[i*N + j] == 1) {\n                    edgeCount++;\n                }\n            }\n        }\n        return edgeCount;\n}",False,False,,9,-79708160,13737.0,0.94,13737.0,0.6799999999999999,4.091007232666016,,,,,
