prompt,name,problem_type,language,parallelism_model,temperature,top_p,do_sample,max_new_tokens,prompted,generated_output,did_build,is_source_valid,best_sequential_runtime,output_idx,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times,run_idx,did_run,is_valid,runtime,num_threads
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  int count = 0;\n  for (size_t i = 0; i < N; ++i) {\n    for (size_t j = 0; j < N; ++j) {\n      if (A[i * N + j] == 1) {\n        count++;\n      }\n    }\n  }\n  return count;\n}",False,False,,0,511496192,26585.0,0.97,26415.666666666668,0.6433333333333333,6.121167898178101,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: implement this function\n  return 0;\n}",False,False,,1,-99864576,26685.0,0.96,26685.0,0.48,4.417316198348999,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: Implement this function.\n  return 0;\n}",False,False,,2,29143040,26685.0,0.97,26685.0,0.485,4.165827989578247,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  int count = 0;\n  for (size_t i = 0; i < N; ++i) {\n    for (size_t j = 0; j < N; ++j) {\n      if (A[i * N + j] == 1) {\n        count++;\n      }\n    }\n  }\n  return count;\n}",False,False,,3,11976704,26685.0,0.97,26685.0,0.6433333333333333,6.242671489715576,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: Implement this function.\n  return 0;\n}",False,False,,4,-5734400,26685.0,0.96,26685.0,0.48,4.743446588516235,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: Implement this function.\n  return 0;\n}",False,False,,5,-7925760,26685.0,0.96,26685.0,0.48,4.165493965148926,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  int count = 0;\n  for (size_t i = 0; i < N; ++i) {\n    for (size_t j = 0; j < N; ++j) {\n      if (A[i * N + j] == 1) {\n        ++count;\n      }\n    }\n  }\n  return count;\n}",False,False,,6,7704576,26685.0,0.97,26685.0,0.6433333333333333,6.216501474380493,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: Implement this function.\n  return 0;\n}",False,False,,7,-54292480,26685.0,0.96,26685.0,0.48,4.2065558433532715,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  int count = 0;\n  for (size_t i = 0; i < N; ++i) {\n    for (size_t j = 0; j < N; ++j) {\n      if (A[i * N + j] == 1) {\n        count++;\n      }\n    }\n  }\n  return count;\n}",False,False,,8,4165632,26685.0,0.96,26685.0,0.64,6.557628870010376,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  int count = 0;\n  for (size_t i = 0; i < N; ++i) {\n    for (size_t j = 0; j < N; ++j) {\n      if (A[i * N + j] == 1) {\n        ++count;\n      }\n    }\n  }\n  return count;\n}",False,False,,9,22568960,26685.0,0.96,26685.0,0.64,6.391820192337036,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  int count = 0;\n  hpx::parallel::for_loop(0, N, [&](size_t i) {\n    for (size_t j = 0; j < N; ++j) {\n      if (A[i * N + j] == 1) {\n        ++count;\n      }\n    }\n  });\n  return count;\n}",False,True,,10,-5656576,26685.0,0.96,26685.0,0.64,6.690618276596069,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: Implement this function.\n  return 0;\n}",False,False,,11,-8941568,26685.0,0.0,26685.0,0.0,2.047152042388916,,,,,
"#include <hpx/hpx_main.hpp>\n\n/* Count the number of edges in the directed graph defined by the adjacency matrix A.\n   A is an NxN adjacency matrix stored in row-major. A represents a directed graph.\n   Use HPX to compute in parallel.  Assume HPX has already been initialized.\n   Example:\n\n	 input: [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]\n   output: 6\n*/\nint edgeCount(std::vector<int> const& A, size_t N) {",15_edge_graph_count,graph,cpp,hpx,0.2,0.95,True,2048,False,"int edgeCount(std::vector<int> const& A, size_t N) {\n  // TODO: Implement this function.\n  return 0;\n}",False,False,,12,15441920,26685.0,0.0,26685.0,0.0,2.0436108112335205,,,,,
